Name,latitude,longitude
David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
Starbucks - La Consolacion College Manila [Available for LONG-DISTANCE DELIVERY],14.597956252093127,120.99321434826533
Coffee Army - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.60594708,120.9912717
Supreme Wings - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.6007482,120.9912594
Red Ribbon - Legarda,14.6014248,120.9927563
Turks - Recto,14.601017,120.9899125
Sausage Supreme - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.6008,120.9911157
Hap Chan - Tomas Mapua [Available for LONG-DISTANCE DELIVERY],14.601413,120.97967
Crazy Chops - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.6007979,120.9911282
The Great Buddha Cafe - Ongpin [Available for LONG-DISTANCE DELIVERY],14.600144125,120.9751577
Uncle John's Chicken by Mini Stop - Escolta,14.5985878,120.9792009
Bo's Coffee - Espana [Available for LONG-DISTANCE DELIVERY],14.6062743,120.9890109
Golden Fortune Seafood Restaurant - Binondo [Available for LONG-DISTANCE DELIVERY],14.603557,120.97757
Yi Fang Taiwan Fruit Tea 一芳台灣水果茶 - Binondo [Available for LONG-DISTANCE DELIVERY],14.598788,120.975457
Smile To Go - University Tower 4,14.60616220909091,120.98993409999999
Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
Boba Ka Tea - Loyola Street [Available for LONG-DISTANCE DELIVERY],14.60522,120.990135
Dunkin' - Zen Tower,14.59038815,120.984251
Chapes Keto Mompreneur - Manila [Available for LONG-DISTANCE DELIVERY],14.5939029,120.9918032
Halina Hotel & Restaurant - Rizal Avenue,14.601594265287872,120.98144542327992
Tin & Kyle Silog Silogan - Gastambide St [Available for LONG-DISTANCE DELIVERY],14.60266512,120.9904231
Happy Thirstday - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607373,120.987819
Dadudz Unli Wings - St. Thomas Square [Available for LONG-DISTANCE DELIVERY],14.60562305,120.988576
Coffee Project - Vista Heights,14.597548,120.9896859
Seafood Hauz - Gastambide,14.6014,120.991008
J-Cobz Bistro - Loyola Street [Available for LONG-DISTANCE DELIVERY],14.6027034,120.988592
Sisig Sa-Wrap - Gastambide Street [Available for LONG-DISTANCE DELIVERY],14.6008133,120.9911537
Vista Hotel and Restaurant - Recto Street,14.6038780625,120.9812034
Joni's Grill - Delos Santos Street [Available for LONG-DISTANCE DELIVERY],14.6033922,120.9907382
Ali and Pau Foodhouse - Quiapo,14.599928333333333,120.9882267
Sip & Chow Food Express - Gastambide Street,14.604441,120.990626
"Joni's Pizza, Pasta and Grill - Ubelt Manila [Available for LONG-DISTANCE DELIVERY]",14.6044,120.99042
NikNoks Eatery - Gastambide St.,14.6014,120.991008
Kalsada Burger - UST [Available for LONG-DISTANCE DELIVERY],14.6076718,120.9884945
Popeyes - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5900564,120.983188625
24 Chicken - Mendiola [Available for LONG-DISTANCE DELIVERY],14.599993593888414,120.9906229630875
Andok's - Carriedo,14.5990063,120.9814594
BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
Andok's Dine-In - Quiapo,14.6015438,120.9848348
Wendy's - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5900528125,120.9835478
S&R New York Style Pizza - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5901269,120.98368076666667
Kenny Rogers Roasters - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590071329999999,120.9836955
Bulalo World - Isetann Recto [Available for LONG-DISTANCE DELIVERY],14.60283715,120.9843469
Max's Restaurant - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590069533333333,120.9837077
Classic Savory - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590010225,120.98377966666668
Chooks To Go - Legarda Street Manila,14.600708,120.9913878
Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
Sincerity Cafe & Restaurant - Binondo [Available for LONG-DISTANCE DELIVERY],14.599068014727354,120.975219818386
The Aristocrat Restaurant - SM Manila [Available for LONG-DISTANCE DELIVERY],14.59033764,120.9837502
Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781147071501,120.97484072883657
Pizza Hut - CM Recto [Available for LONG-DISTANCE DELIVERY],14.6022463,120.98692623157895
Kuya J Restaurant - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590063,120.9834672
Buffalo's Wings N' Things - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590007714285713,120.9834563
King Sisig - Isetann Recto [Available for LONG-DISTANCE DELIVERY],14.603071641666666,120.98418
Black Scoop Cafe - Legarda [Available for LONG-DISTANCE DELIVERY],14.6000499,120.9906598
Paotsin - Victory Lacson Underpass [Available for LONG-DISTANCE DELIVERY],14.5980502,120.9838609
Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
Lechon Haus - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5900717,120.9837016
Kowloon House - Quiapo [Available for LONG-DISTANCE DELIVERY],14.59984597,120.9845705
Goldilocks - Good Earth Carriedo Bakeshop,14.5994472,120.9812578
Hai Pio Pares + Bbq - Carriedo,14.598816,120.982012
Pancit Ng Taga Malabon - Quiapo,14.5975467,120.9837582
Dakasi Milktea - Hotstar Recto [Available for LONG-DISTANCE DELIVERY],14.600982475,120.9899579
Wai Ying Fastfood - Binondo [Available for LONG-DISTANCE DELIVERY],14.602069,120.975989
Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
Cafe Mary Grace - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312104551774,120.98366138227328
MDM Food House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.601355,120.976852
Mr. Ube Rice and Noodle Haus - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.600840155867786,120.97590531485673
Zagu - Carriedo,14.599014971754528,120.98156781349235
